banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
25.47225.472,42.0,25.49325.493,"25,51 25,51 ","6,46 6,46 ",25.192 25.192 ,241 241 ,16 16 ,0.0,88.0,42.0,16.094,14.09314.093,5.82,842.0,0.0,11,0.0,25.49325.493
65.99865.998,74.0,66.03566.035,"21,87 21,87 ","5,81 5,81 ",55.024 55.024 ,10.918 10.918 ,31 31 ,0.0,124.0,966.0,25.674,42.10642.106,15.816,5.2,248.0,22,0.0,66.06066.060
66.55766.557,3.97,68.54268.542,"40,25 40,25 ","12,22 12,22 ",48.539 48.539 ,697 697 ,891 891 ,24.512,12.318,3.716,12.436,60.39260.392,140.0,0.0,0.0,00,0.0,68.53868.538
65.65665.656,108.0,65.71065.710,"23,56 23,56 ","6,17 6,17 ",54.754 54.754 ,9.526 9.526 ,40 40 ,2.63,150.0,80.0,27.72,42.18242.182,15.026,4.212,0.0,99,0.0,65.71065.710
590.113590.113,638.0,590.432590.432,"54,70 54,70 ","16,66 16,66 ",345.157 345.157 ,240.452 240.452 ,419 419 ,7.836,972.0,3.806,170.724,427.844427.844,83.894,61.716,2.354,782782,0.0,589.873589.873
140.567140.567,492.0,140.813140.813,"36,03 36,03 ","10,72 10,72 ",112.291 112.291 ,23.027 23.027 ,57 57 ,10.356,520.0,4.622,55.602,88.64988.649,36.636,7.168,2.0,6666,0.0,140.730140.730
26.15626.156,102.0,26.20726.207,"17,96 17,96 ","4,55 4,55 ",21.245 21.245 ,4.896 4.896 ,1 1 ,0.0,130.0,3.894,15.66,14.05814.058,3.704,946.0,94.0,11,0.0,26.20826.208
35.99935.999,6.0,36.00236.002,"19,60 19,60 ","4,98 4,98 ",31.349 31.349 ,4.583 4.583 ,22 22 ,74.0,22.0,3.76,20.854,19.74019.740,6.886,930.0,0.0,00,0.0,35.95535.955
56.81356.813,1134.0,57.38057.380,"51,27 51,27 ","16,82 16,82 ",16.043 16.043 ,34.281 34.281 ,514 514 ,11.788,1296.0,12.532,13.758,36.52036.520,52.0,10.0,8.0,1010,0.0,49.71049.710
16.37916.379,46.0,16.40216.402,"17,01 17,01 ","4,50 4,50 ",16.352 16.352 ,0 0 ,17 17 ,0.0,66.0,18.0,8.666,9.7289.728,3.886,772.0,0.0,33,0.0,16.40216.402
167.766167.766,3.696,169.614169.614,"32,64 32,64 ","9,06 9,06 ",151.797 151.797 ,13.030 13.030 ,2.534 2.534 ,62.0,4.444,606.0,38.0,169.222169.222,72.0,28.0,10.0,1212,0.0,169.611169.611
77.22277.222,14.0,77.22977.229,"24,16 24,16 ","6,54 6,54 ",58.435 58.435 ,18.613 18.613 ,16 16 ,300.0,30.0,1094.0,23.68,53.09353.093,17.462,5.904,108.0,1212,0.0,77.22977.229
92.99992.999,4.794,95.39695.396,"52,55 52,55 ","15,53 15,53 ",47.721 47.721 ,31.778 31.778 ,1.014 1.014 ,23.706,6.06,3.462,5.488,80.93880.938,252.0,7.242,4.0,6666,0.0,89.22889.228
